path_feature_second_value,reward
-1.0,-5.122222900390625
-0.9,-5.100439071655273
-0.8,-5.085771560668945
-0.7000000000000001,-5.072334289550781
-0.6000000000000001,-5.056901931762695
-0.5000000000000001,-5.037107467651367
-0.40000000000000013,-5.016599655151367
-0.30000000000000016,-4.9860687255859375
-0.20000000000000018,-4.946534156799316
-0.1000000000000002,-4.894340515136719
-2.220446049250313e-16,-4.839438438415527
0.09999999999999964,-4.783522605895996
0.19999999999999973,-4.727047920227051
0.2999999999999998,-4.669042587280273
0.3999999999999997,-4.608766555786133
0.49999999999999956,-4.546802520751953
0.5999999999999996,-4.482969284057617
0.6999999999999997,-4.418428421020508
0.7999999999999996,-4.353639602661133
0.8999999999999995,-4.292488098144531
0.9999999999999996,-4.230989456176758
