episode,step,state,action,next_state,reward,path_feature,denormalized_path_feature,path_features,denormalized_path_features
0,12,159,0,167,0.031162261962890625,"[-0.8775510191917419, -0.8740737438201904, -1.0, -0.9200000166893005, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -0.8333333134651184, -1.0]","[3, 199, 0, 1, 0, 0, 0, 0, 0, 0, 2, 1]","[-0.877551   -0.87407374 -1.         -0.92       -1.         -1.
 -1.         -1.         -1.         -1.         -0.8333333  -1.        ]",[  3 199   0   1   0   0   0   0   0   0   2   1]
0,13,167,1,166,-0.05198860168457031,"[-0.918367326259613, -0.8875948786735535, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -0.9166666865348816, -1.0]","[2, 178, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[-0.9183673 -0.8875949 -1.        -1.        -1.        -1.
 -1.        -1.        -1.        -1.        -0.9166667 -1.       ]",[  2 178   0   0   0   0   0   0   0   0   1   1]
0,14,166,0,392,0.2750115394592285,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.],[0 0 0 0 0 0 0 0 0 0 0 1]
1,0,390,0,344,-3.082028865814209,"[-0.3877550959587097, -0.02903733402490616, -1.0, -0.5199999809265137, -1.0, -1.0, -0.21212121844291687, -1.0, -0.8461538553237915, -1.0, -1.0, -1.0]","[15, 1535, 0, 6, 0, 0, 13, 0, 1, 0, 0, 1]","[-0.3877551  -0.02903733 -1.         -0.52       -1.         -1.
 -0.21212122 -1.         -0.84615386 -1.         -1.         -1.        ]",[  15 1535    0    6    0    0   13    0    1    0    0    1]
1,1,344,0,168,-1.9508428573608398,"[-0.4285714328289032, -0.05751629173755646, -1.0, -0.5199999809265137, -1.0, -1.0, -0.27272728085517883, -1.0, -0.8461538553237915, -1.0, -1.0, -1.0]","[14, 1490, 0, 6, 0, 0, 12, 0, 1, 0, 0, 1]","[-0.42857143 -0.05751629 -1.         -0.52       -1.         -1.
 -0.27272728 -1.         -0.84615386 -1.         -1.         -1.        ]",[  14 1490    0    6    0    0   12    0    1    0    0    1]
1,2,168,1,374,-0.2637660503387451,"[-0.4693877696990967, -0.08466792851686478, -1.0, -0.6000000238418579, -1.0, -1.0, -0.3333333432674408, -1.0, -0.8461538553237915, -1.0, -1.0, -1.0]","[13, 1447, 0, 5, 0, 0, 11, 0, 1, 0, 0, 1]","[-0.46938777 -0.08466793 -1.         -0.6        -1.         -1.
 -0.33333334 -1.         -0.84615386 -1.         -1.         -1.        ]",[  13 1447    0    5    0    0   11    0    1    0    0    1]
1,3,374,1,156,-0.22276508808135986,"[-0.5102040767669678, -0.1866890788078308, -1.0, -0.6800000071525574, -1.0, -1.0, -0.39393940567970276, -1.0, -0.8461538553237915, -1.0, -1.0, -1.0]","[12, 1286, 0, 4, 0, 0, 10, 0, 1, 0, 0, 1]","[-0.5102041  -0.18668908 -1.         -0.68       -1.         -1.
 -0.3939394  -1.         -0.84615386 -1.         -1.         -1.        ]",[  12 1286    0    4    0    0   10    0    1    0    0    1]
1,4,156,0,157,-0.2610527575016022,"[-0.5510203838348389, -0.23703821003437042, -1.0, -0.6800000071525574, -1.0, -1.0, -0.4545454680919647, -1.0, -0.8461538553237915, -1.0, -1.0, -1.0]","[11, 1207, 0, 4, 0, 0, 9, 0, 1, 0, 0, 1]","[-0.5510204  -0.23703821 -1.         -0.68       -1.         -1.
 -0.45454547 -1.         -0.84615386 -1.         -1.         -1.        ]",[  11 1207    0    4    0    0    9    0    1    0    0    1]
1,5,157,0,176,-0.2643289566040039,"[-0.5918367505073547, -0.29171645641326904, -1.0, -0.6800000071525574, -1.0, -1.0, -0.5151515007019043, -1.0, -0.8461538553237915, -1.0, -1.0, -1.0]","[10, 1120, 0, 4, 0, 0, 8, 0, 1, 0, 0, 1]","[-0.59183675 -0.29171646 -1.         -0.68       -1.         -1.
 -0.5151515  -1.         -0.84615386 -1.         -1.         -1.        ]",[  10 1120    0    4    0    0    8    0    1    0    0    1]
1,6,176,0,177,-0.1428813934326172,"[-0.6326530575752258, -0.44252416491508484, -1.0, -0.6800000071525574, -1.0, -1.0, -0.5757575631141663, -1.0, -0.8461538553237915, -1.0, -1.0, -1.0]","[9, 882, 0, 4, 0, 0, 7, 0, 1, 0, 0, 1]","[-0.63265306 -0.44252416 -1.         -0.68       -1.         -1.
 -0.57575756 -1.         -0.84615386 -1.         -1.         -1.        ]",[  9 882   0   4   0   0   7   0   1   0   0   1]
1,7,177,0,189,-0.1821136176586151,"[-0.6734693646430969, -0.47495096921920776, -1.0, -0.6800000071525574, -1.0, -1.0, -0.6363636255264282, -1.0, -0.8461538553237915, -1.0, -1.0, -1.0]","[8, 830, 0, 4, 0, 0, 6, 0, 1, 0, 0, 1]","[-0.67346936 -0.47495097 -1.         -0.68       -1.         -1.
 -0.6363636  -1.         -0.84615386 -1.         -1.         -1.        ]",[  8 830   0   4   0   0   6   0   1   0   0   1]
1,8,189,1,190,-0.319973886013031,"[-0.7142857313156128, -0.5194551944732666, -1.0, -0.7599999904632568, -1.0, -1.0, -0.6969696879386902, -1.0, -0.8461538553237915, -1.0, -1.0, -1.0]","[7, 760, 0, 3, 0, 0, 5, 0, 1, 0, 0, 1]","[-0.71428573 -0.5194552  -1.         -0.76       -1.         -1.
 -0.6969697  -1.         -0.84615386 -1.         -1.         -1.        ]",[  7 760   0   3   0   0   5   0   1   0   0   1]
1,9,190,0,211,-0.20251178741455078,"[-0.7551020383834839, -0.5372023582458496, -1.0, -0.7599999904632568, -1.0, -1.0, -0.7575757503509521, -1.0, -0.8461538553237915, -1.0, -1.0, -1.0]","[6, 732, 0, 3, 0, 0, 4, 0, 1, 0, 0, 1]","[-0.75510204 -0.53720236 -1.         -0.76       -1.         -1.
 -0.75757575 -1.         -0.84615386 -1.         -1.         -1.        ]",[  6 732   0   3   0   0   4   0   1   0   0   1]
1,10,211,1,202,-0.1477527618408203,"[-0.795918345451355, -0.6217975616455078, -1.0, -0.8399999737739563, -1.0, -1.0, -0.8181818127632141, -1.0, -0.8461538553237915, -1.0, -1.0, -1.0]","[5, 598, 0, 2, 0, 0, 3, 0, 1, 0, 0, 1]","[-0.79591835 -0.62179756 -1.         -0.84       -1.         -1.
 -0.8181818  -1.         -0.84615386 -1.         -1.         -1.        ]",[  5 598   0   2   0   0   3   0   1   0   0   1]
1,11,202,0,235,-0.37428921461105347,"[-0.8367347121238708, -0.7053152322769165, -1.0, -0.8399999737739563, -1.0, -1.0, -0.8787878751754761, -1.0, -0.8461538553237915, -1.0, -1.0, -1.0]","[4, 466, 0, 2, 0, 0, 2, 0, 1, 0, 0, 1]","[-0.8367347  -0.70531523 -1.         -0.84       -1.         -1.
 -0.8787879  -1.         -0.84615386 -1.         -1.         -1.        ]",[  4 466   0   2   0   0   2   0   1   0   0   1]
1,12,235,1,245,-0.20828622579574585,"[-0.8775510191917419, -0.7839972376823425, -1.0, -0.9200000166893005, -1.0, -1.0, -0.939393937587738, -1.0, -0.8461538553237915, -1.0, -1.0, -1.0]","[3, 342, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1]","[-0.877551   -0.78399724 -1.         -0.92       -1.         -1.
 -0.93939394 -1.         -0.84615386 -1.         -1.         -1.        ]",[  3 342   0   1   0   0   1   0   1   0   0   1]
1,13,245,0,239,0.23979493975639343,"[-0.918367326259613, -0.8653490543365479, -1.0, -0.9200000166893005, -1.0, -1.0, -1.0, -1.0, -0.8461538553237915, -1.0, -1.0, -1.0]","[2, 213, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1]","[-0.9183673  -0.86534905 -1.         -0.92       -1.         -1.
 -1.         -1.         -0.84615386 -1.         -1.         -1.        ]",[  2 213   0   1   0   0   0   0   1   0   0   1]
1,14,239,1,240,0.30137255787849426,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.],[0 0 0 0 0 0 0 0 0 0 0 1]
2,0,390,0,344,-3.036440849304199,"[-0.3469387888908386, 0.009448088705539703, -1.0, -0.6000000238418579, -1.0, -0.8947368264198303, -0.1515151560306549, -1.0, -1.0, -1.0, -1.0, -1.0]","[16, 1596, 0, 5, 0, 1, 14, 0, 0, 0, 0, 1]","[-0.3469388   0.00944809 -1.         -0.6        -1.         -0.8947368
 -0.15151516 -1.         -1.         -1.         -1.         -1.        ]",[  16 1596    0    5    0    1   14    0    0    0    0    1]
2,1,344,0,168,-2.0822901725769043,"[-0.3877550959587097, -0.019030870869755745, -1.0, -0.6000000238418579, -1.0, -0.8947368264198303, -0.21212121844291687, -1.0, -1.0, -1.0, -1.0, -1.0]","[15, 1551, 0, 5, 0, 1, 13, 0, 0, 0, 0, 1]","[-0.3877551  -0.01903087 -1.         -0.6        -1.         -0.8947368
 -0.21212122 -1.         -1.         -1.         -1.         -1.        ]",[  15 1551    0    5    0    1   13    0    0    0    0    1]
2,2,168,1,374,-0.3445460796356201,"[-0.4285714328289032, -0.046182505786418915, -1.0, -0.6800000071525574, -1.0, -0.8947368264198303, -0.27272728085517883, -1.0, -1.0, -1.0, -1.0, -1.0]","[14, 1508, 0, 4, 0, 1, 12, 0, 0, 0, 0, 1]","[-0.42857143 -0.04618251 -1.         -0.68       -1.         -0.8947368
 -0.27272728 -1.         -1.         -1.         -1.         -1.        ]",[  14 1508    0    4    0    1   12    0    0    0    0    1]
2,3,374,1,156,-0.3244870901107788,"[-0.4693877696990967, -0.14820365607738495, -1.0, -0.7599999904632568, -1.0, -0.8947368264198303, -0.3333333432674408, -1.0, -1.0, -1.0, -1.0, -1.0]","[13, 1347, 0, 3, 0, 1, 11, 0, 0, 0, 0, 1]","[-0.46938777 -0.14820366 -1.         -0.76       -1.         -0.8947368
 -0.33333334 -1.         -1.         -1.         -1.         -1.        ]",[  13 1347    0    3    0    1   11    0    0    0    0    1]
2,4,156,0,157,-0.2097703218460083,"[-0.5102040767669678, -0.19855278730392456, -1.0, -0.7599999904632568, -1.0, -0.8947368264198303, -0.39393940567970276, -1.0, -1.0, -1.0, -1.0, -1.0]","[12, 1267, 0, 3, 0, 1, 10, 0, 0, 0, 0, 1]","[-0.5102041  -0.19855279 -1.         -0.76       -1.         -0.8947368
 -0.3939394  -1.         -1.         -1.         -1.         -1.        ]",[  12 1267    0    3    0    1   10    0    0    0    0    1]
2,5,157,0,176,-0.2717113494873047,"[-0.5510203838348389, -0.2532310485839844, -1.0, -0.7599999904632568, -1.0, -0.8947368264198303, -0.4545454680919647, -1.0, -1.0, -1.0, -1.0, -1.0]","[11, 1181, 0, 3, 0, 1, 9, 0, 0, 0, 0, 1]","[-0.5510204  -0.25323105 -1.         -0.76       -1.         -0.8947368
 -0.45454547 -1.         -1.         -1.         -1.         -1.        ]",[  11 1181    0    3    0    1    9    0    0    0    0    1]
