ori,des,path,len,time_step
367,391,367_400_287_200_208_145_146_148_227_151_152_153_155_164_174_159_167_166_391,19,1.0
345,246,345_169_369_168_374_156_157_176_177_189_190_211_202_235_246,15,1.0
345,242,345_169_369_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,18,1.0
345,233,345_169_369_168_374_156_157_176_177_189_190_211_202_235_246_34_33_31_357_39_75_310_237_233,24,1.0
345,242,345_169_369_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,18,1.0
345,214,345_169_369_168_374_156_157_176_177_189_191_193_181_223_214,15,1.0
367,392,367_400_287_200_208_145_146_148_227_151_152_153_155_164_174_159_167_166_392,19,1.0
345,281,345_169_369_168_374_156_157_176_177_189_190_211_202_235_246_34_33_31_357_40_50_20_23_73_22_329_89_281,28,1.0
198,392,198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,15,1.0
345,325,345_169_369_168_374_156_157_176_177_189_190_211_202_235_246_34_33_31_357_40_50_20_23_73_22_329_89_281_325,29,1.0
390,242,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,17,1.0
390,80,390_344_168_374_156_157_176_177_189_190_211_202_235_246_34_33_31_357_40_50_19_24_349_313_79_80,26,1.0
345,242,345_169_369_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,18,1.0
345,242,345_169_369_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,18,1.0
345,376,345_169_369_168_374_156_157_176_177_189_190_211_202_235_246_34_33_30_236_376,20,1.0
413,242,413_250_410_411_184_183_177_189_190_211_202_235_245_239_241_242,16,1.0
345,325,345_169_369_168_374_156_157_176_177_189_190_211_202_235_246_34_33_31_357_40_50_20_23_73_22_329_89_281_325,29,1.0
236,391,236_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_391,18,1.0
206,392,206_196_195_180_315_185_179_418_251_164_174_159_167_166_392,15,1.0
96,391,96_336_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_391,18,1.0
206,392,206_196_195_180_315_185_179_418_251_164_174_159_167_166_392,15,1.0
236,392,236_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,18,1.0
300,392,300_198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,16,1.0
390,242,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,17,1.0
236,392,236_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,18,1.0
390,240,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_240,16,1.0
390,242,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,17,1.0
390,240,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_240,16,1.0
236,392,236_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,18,1.0
390,4,390_344_168_374_156_157_176_177_188_146_148_227_151_152_154_4,16,1.0
390,32,390_344_168_374_156_157_176_177_189_190_211_202_235_246_34_32,16,1.0
345,242,345_169_369_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,18,1.0
390,240,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_240,16,1.0
