osmid,y,x,street_count,highway,geometry,neighbors
97834761,37.9870356,23.7264514,3,,POINT (23.7264514 37.9870356),[8253823131]
97834765,37.9877534,23.7248767,3,,POINT (23.7248767 37.9877534),"[95663524, 95663499]"
97834824,37.9881734,23.724988,4,,POINT (23.724988 37.9881734),"[97834765, 97834834]"
97834829,37.98874,23.72514,3,,POINT (23.72514 37.98874),"[97834824, 97834834]"
97834834,37.9880432,23.7257326,3,,POINT (23.7257326 37.9880432),[95663474]
97834909,37.9883597,23.7239184,4,,POINT (23.7239184 37.9883597),"[97839355, 633562896]"
97835127,37.9879416,23.7237962,3,,POINT (23.7237962 37.9879416),[97834909]
97839355,37.9887804,23.7240414,3,,POINT (23.7240414 37.9887804),[97839357]
97839357,37.9888911,23.7240737,3,,POINT (23.7240737 37.9888911),[97839373]
97839373,37.9889499,23.7249715,3,,POINT (23.7249715 37.9889499),"[97834703, 8212395769]"
97846089,37.9828872,23.7264693,3,,POINT (23.7264693 37.9828872),[97846098]
97846098,37.982807,23.727019,3,,POINT (23.727019 37.982807),[]
98303817,37.9867215,23.7245984,3,,POINT (23.7245984 37.9867215),[95663502]
250663746,37.9836712,23.7252862,3,,POINT (23.7252862 37.9836712),[]
250691272,37.9763519,23.7334596,3,,POINT (23.7334596 37.9763519),[]
250691664,37.9816631,23.7302053,4,,POINT (23.7302053 37.9816631),"[250702474, 250691665]"
250691665,37.9809147,23.7308595,4,,POINT (23.7308595 37.9809147),"[6376633339, 250691666]"
250691666,37.9800553,23.7315863,3,,POINT (23.7315863 37.9800553),[250709582]
250691668,37.9787013,23.7327189,4,,POINT (23.7327189 37.9787013),"[250698924, 807999510, 250691669]"
250691669,37.9780795,23.733224,3,,POINT (23.733224 37.9780795),[250691670]
250691670,37.9774996,23.7337272,4,,POINT (23.7337272 37.9774996),"[250691723, 42240105]"
250691723,37.9780935,23.7348738,4,,POINT (23.7348738 37.9780935),"[250691755, 250691724]"
250691724,37.9786886,23.7343686,4,,POINT (23.7343686 37.9786886),"[250698924, 250691669]"
250691739,37.978045,23.7372101,3,,POINT (23.7372101 37.978045),[250691794]
250691741,37.9785906,23.7382559,4,,POINT (23.7382559 37.9785906),"[300401174, 300401270]"
250691753,37.9794738,23.73754,4,,POINT (23.73754 37.9794738),[10134034294]
250691755,37.9789285,23.7364867,4,,POINT (23.7364867 37.9789285),"[300401360, 250692359]"
250691793,37.9775113,23.7376587,3,,POINT (23.7376587 37.9775113),"[250692062, 6220792260]"
250691794,37.9776723,23.7375253,3,,POINT (23.7375253 37.9776723),[250691793]
250691827,37.9765,23.7358438,3,,POINT (23.7358438 37.9765),[3339821648]
250691847,37.9759484,23.7357767,3,,POINT (23.7357767 37.9759484),"[954712407, 2511789008]"
250692062,37.9777729,23.7381525,3,,POINT (23.7381525 37.9777729),[250692063]
250692063,37.9780568,23.7386883,4,,POINT (23.7386883 37.9780568),[250691741]
250692359,37.9783998,23.7369241,3,,POINT (23.7369241 37.9783998),"[300401271, 250691739]"
250692405,37.9776379,23.7390281,3,,POINT (23.7390281 37.9776379),[250692063]
250692409,37.9771792,23.7386739,3,,POINT (23.7386739 37.9771792),[]
250698924,37.9793349,23.73382,4,,POINT (23.73382 37.9793349),[250698926]
250698926,37.9811074,23.7322884,3,,POINT (23.7322884 37.9811074),[250699982]
250699359,37.9815409,23.734332,4,,POINT (23.734332 37.9815409),"[8446047162, 10174555843]"
250699362,37.9829088,23.7332314,4,,POINT (23.7332314 37.9829088),"[250708641, 599116897]"
250699612,37.9818966,23.7338204,3,,POINT (23.7338204 37.9818966),"[250698926, 250709162]"
250699613,37.9819811,23.7339908,4,,POINT (23.7339908 37.9819811),"[250699612, 250699359]"
250699711,37.9829944,23.7346918,4,,POINT (23.7346918 37.9829944),"[250699973, 250708641]"
250699973,37.983435,23.7355592,4,,POINT (23.7355592 37.983435),[]
250699982,37.9814906,23.7319629,3,,POINT (23.7319629 37.9814906),"[250699983, 250691665]"
250699983,37.9820166,23.7315163,3,,POINT (23.7315163 37.9820166),"[250699984, 250702474]"
250699984,37.9824212,23.7323057,3,,POINT (23.7323057 37.9824212),"[250699362, 250708099]"
250700083,37.9832887,23.7329218,4,,POINT (23.7329218 37.9832887),"[250708099, 250699362]"
250700084,37.9841573,23.7322095,4,,POINT (23.7322095 37.9841573),"[388172051, 250700083]"
250700085,37.9847425,23.7317305,4,,POINT (23.7317305 37.9847425),"[250707871, 250700084]"
250700142,37.9829031,23.7291536,3,,POINT (23.7291536 37.9829031),[250700344]
250700248,37.9832261,23.7304891,4,,POINT (23.7304891 37.9832261),"[250700343, 250714051]"
250700339,37.9847331,23.7332879,4,,POINT (23.7332879 37.9847331),"[364104830, 250706959]"
250700341,37.9839436,23.7318096,3,,POINT (23.7318096 37.9839436),"[250700084, 250707871]"
250700343,37.9836341,23.7312304,3,,POINT (23.7312304 37.9836341),[250708051]
250700344,37.9826112,23.7293886,3,,POINT (23.7293886 37.9826112),"[250700248, 250691664]"
250702474,37.9822263,23.7313381,3,,POINT (23.7313381 37.9822263),"[250700248, 250699983]"
250706414,37.977355,23.732875,3,,POINT (23.732875 37.977355),[250691670]
250706958,37.9838309,23.7340111,4,,POINT (23.7340111 37.9838309),"[388172075, 388172056]"
250706959,37.9853174,23.7328196,4,traffic_signals,POINT (23.7328196 37.9853174),[388172083]
250707871,37.9843011,23.7308945,3,,POINT (23.7308945 37.9843011),[250700343]
